Data	Ora	Bione TEMPERATURA (media del periodo 1h) [°C]
03/10/2017	01:00:00	15.1
03/10/2017	02:00:00	14.9
03/10/2017	03:00:00	14.3
03/10/2017	04:00:00	14.6
03/10/2017	05:00:00	15.1
03/10/2017	06:00:00	15.3
03/10/2017	07:00:00	14.8
03/10/2017	08:00:00	15.3
03/10/2017	09:00:00	16.3
03/10/2017	10:00:00	17.2
03/10/2017	11:00:00	17.9
03/10/2017	12:00:00	19.1
03/10/2017	13:00:00	19.4
03/10/2017	14:00:00	20
03/10/2017	15:00:00	21
03/10/2017	16:00:00	21.5
03/10/2017	17:00:00	20.1
03/10/2017	18:00:00	19.5
03/10/2017	19:00:00	18.4
03/10/2017	20:00:00	17.9
03/10/2017	21:00:00	17
03/10/2017	22:00:00	15.7
03/10/2017	23:00:00	15.2
03/10/2017	24:00:00	14.4
04/10/2017	01:00:00	14
04/10/2017	02:00:00	13.5
04/10/2017	03:00:00	13.1
04/10/2017	04:00:00	13.3
04/10/2017	05:00:00	14.4
04/10/2017	06:00:00	14.9
04/10/2017	07:00:00	14.4
04/10/2017	08:00:00	14.9
04/10/2017	09:00:00	15.8
04/10/2017	10:00:00	16.9
04/10/2017	11:00:00	17.8
04/10/2017	12:00:00	19.1
04/10/2017	13:00:00	21.9
04/10/2017	14:00:00	21.7
04/10/2017	15:00:00	21.4
04/10/2017	16:00:00	21
04/10/2017	17:00:00	20.4
04/10/2017	18:00:00	19
04/10/2017	19:00:00	16.8
04/10/2017	20:00:00	16
04/10/2017	21:00:00	15.6
04/10/2017	22:00:00	15.3
04/10/2017	23:00:00	15.2
04/10/2017	24:00:00	15.1
05/10/2017	01:00:00	14.7
05/10/2017	02:00:00	14.3
05/10/2017	03:00:00	14.7
05/10/2017	04:00:00	14.2
05/10/2017	05:00:00	14.1
05/10/2017	06:00:00	13.6
05/10/2017	07:00:00	13.2
05/10/2017	08:00:00	14.1
05/10/2017	09:00:00	16.2
05/10/2017	10:00:00	18.2
05/10/2017	11:00:00	19.3
05/10/2017	12:00:00	21.8
05/10/2017	13:00:00	24.3
05/10/2017	14:00:00	24.4
05/10/2017	15:00:00	24
05/10/2017	16:00:00	24.4
05/10/2017	17:00:00	23.1
05/10/2017	18:00:00	21.5
05/10/2017	19:00:00	20.6
05/10/2017	20:00:00	19.8
05/10/2017	21:00:00	18.2
05/10/2017	22:00:00	17.6
05/10/2017	23:00:00	17.7
05/10/2017	24:00:00	17.5
06/10/2017	01:00:00	16.7
06/10/2017	02:00:00	16
06/10/2017	03:00:00	16
06/10/2017	04:00:00	15.6
06/10/2017	05:00:00	15.3
06/10/2017	06:00:00	14.7
06/10/2017	07:00:00	15.5
06/10/2017	08:00:00	16.5
06/10/2017	09:00:00	19
06/10/2017	10:00:00	21.8
06/10/2017	11:00:00	23.2
06/10/2017	12:00:00	24.5
06/10/2017	13:00:00	24.5
06/10/2017	14:00:00	25.3
06/10/2017	15:00:00	25.2
06/10/2017	16:00:00	23.8
06/10/2017	17:00:00	21.9
06/10/2017	18:00:00	20.1
06/10/2017	19:00:00	19
06/10/2017	20:00:00	18.6
06/10/2017	21:00:00	17.3
06/10/2017	22:00:00	15.2
06/10/2017	23:00:00	13.6
06/10/2017	24:00:00	11.9
07/10/2017	01:00:00	11.2
07/10/2017	02:00:00	10.8
07/10/2017	03:00:00	10.4
07/10/2017	04:00:00	10.1
07/10/2017	05:00:00	9.3
07/10/2017	06:00:00	9.5
07/10/2017	07:00:00	12.1
07/10/2017	08:00:00	9.9
07/10/2017	09:00:00	13.1
07/10/2017	10:00:00	18.6
07/10/2017	11:00:00	20.1
07/10/2017	12:00:00	21.2
07/10/2017	13:00:00	21.8
07/10/2017	14:00:00	23
07/10/2017	15:00:00	23.2
07/10/2017	16:00:00	22.7
07/10/2017	17:00:00	20.4
07/10/2017	18:00:00	18.2
07/10/2017	19:00:00	16.6
07/10/2017	20:00:00	14.6
07/10/2017	21:00:00	13.4
07/10/2017	22:00:00	13.4
07/10/2017	23:00:00	12.7
07/10/2017	24:00:00	12.3
08/10/2017	01:00:00	12.8
08/10/2017	02:00:00	13.3
08/10/2017	03:00:00	12.8
08/10/2017	04:00:00	13
08/10/2017	05:00:00	13.3
08/10/2017	06:00:00	13.7
08/10/2017	07:00:00	14.1
08/10/2017	08:00:00	13.9
08/10/2017	09:00:00	15.2
08/10/2017	10:00:00	18
08/10/2017	11:00:00	19.5
08/10/2017	12:00:00	22
08/10/2017	13:00:00	22.7
08/10/2017	14:00:00	23.5
08/10/2017	15:00:00	23.7
08/10/2017	16:00:00	23.9
08/10/2017	17:00:00	20.2
08/10/2017	18:00:00	17.5
08/10/2017	19:00:00	15.7
08/10/2017	20:00:00	14.6
